country,year,parity,mean_age_at_birth,n
Angola,2015,1,27.444070736892286,11149
Angola,2015,2,26.10570055191108,8975
Angola,2015,3,24.964934763225013,6926
Angola,2015,4,23.992345446991976,5144
Angola,2015,5,23.037973544902783,3710
Angola,2015,6,22.14788599820459,2554
Angola,2015,7,21.363382550471783,1597
Angola,2015,8,20.512547920710748,971
Angola,2015,9,19.748023697712767,522
Angola,2015,10,19.039239099077722,266
Angola,2015,11,18.64536891039397,115
Angola,2015,12,18.324333476330107,44
Angola,2015,13,17.926092632643797,16
Angola,2015,14,18.202426859082696,8
Angola,2015,15,18.2447934395459,4
Angola,2015,16,16.583333333333332,1
Burundi,2010,1,29.58681541918589,5954
Burundi,2010,2,28.22946680312892,4928
Burundi,2010,3,27.002614146538676,3958
Burundi,2010,4,25.95602406257052,3096
Burundi,2010,5,24.895619118986897,2341
Burundi,2010,6,23.83951559301313,1684
Burundi,2010,7,23.006935791020815,1123
Burundi,2010,8,21.925911127692977,708
Burundi,2010,9,21.022391796553393,396
Burundi,2010,10,20.051652029337863,201
Burundi,2010,11,19.908403970708196,84
Burundi,2010,12,19.02616456988405,32
Burundi,2010,13,18.72498457891566,10
Burundi,2010,14,19.256281926104197,3
Burundi,2010,15,18.25,1
Burundi,2010,16,16.5,1
Burundi,2016,1,29.74043016241277,11081
Burundi,2016,2,27.99045906211086,9322
Burundi,2016,3,26.663205796617824,7573
Burundi,2016,4,25.610259893621976,5814
Burundi,2016,5,24.44994387620308,4350
Burundi,2016,6,23.45319270849009,3044
Burundi,2016,7,22.636080278833305,1979
Burundi,2016,8,21.812370493922227,1173
Burundi,2016,9,20.9985646523766,611
Burundi,2016,10,20.425042961252245,288
Burundi,2016,11,19.61774745978126,120
Burundi,2016,12,19.778708952405918,49
Burundi,2016,13,19.09106378564805,11
Burundi,2016,14,20.571141209100883,3
Burundi,2016,15,18.916666666666668,1
Cameroon,1991,1,26.56262257895783,2839
Cameroon,1991,2,25.341532116459167,2257
Cameroon,1991,3,24.364353245633833,1782
Cameroon,1991,4,23.335952572650747,1412
Cameroon,1991,5,22.418074995318275,1092
Cameroon,1991,6,21.464047850995613,807
Cameroon,1991,7,20.78301274563034,567
Cameroon,1991,8,20.113305010244698,377
Cameroon,1991,9,19.468688068170426,226
Cameroon,1991,10,18.587840955009057,136
Cameroon,1991,11,18.138709136503977,65
Cameroon,1991,12,18.431188322827943,31
Cameroon,1991,13,18.966283071466467,13
Cameroon,1991,14,17.75727894468953,3
Cameroon,1991,15,16.719231505470532,3
Cameroon,1991,16,14.952023622620425,2
Cameroon,1998,1,26.704855585442548,3847
Cameroon,1998,2,25.732827736030917,2984
Cameroon,1998,3,24.77322975612694,2344
Cameroon,1998,4,23.90853635821926,1842
Cameroon,1998,5,22.89293087298171,1411
Cameroon,1998,6,22.06563713609748,1032
Cameroon,1998,7,21.249529269553054,720
Cameroon,1998,8,20.5411645983706,456
Cameroon,1998,9,19.600247870048367,279
Cameroon,1998,10,18.737544782256,159
Cameroon,1998,11,18.006612761978314,72
Cameroon,1998,12,17.742796546748256,26
Cameroon,1998,13,16.532964839795678,8
Cameroon,1998,14,17.166666666666664,2
Cameroon,1998,15,16.041666666666668,2
Cameroon,1998,16,18.25,1
Cameroon,1998,17,17.25,1
Cameroon,1998,18,16.333333333333332,1
Cameroon,2004,1,26.618459220036698,7557
Cameroon,2004,2,25.421581328530237,5868
Cameroon,2004,3,24.456796225675916,4543
Cameroon,2004,4,23.56700990588408,3501
Cameroon,2004,5,22.766901684061047,2651
Cameroon,2004,6,21.80528654250526,1967
Cameroon,2004,7,20.921936395380637,1359
Cameroon,2004,8,20.04048760548312,913
Cameroon,2004,9,19.422968731282662,555
Cameroon,2004,10,18.548260918968303,305
Cameroon,2004,11,18.176250180780656,147
Cameroon,2004,12,17.799754783835816,55
Cameroon,2004,13,18.255521787647805,19
Cameroon,2004,14,17.5477257780173,8
Cameroon,2004,15,16.89079476974145,4
Cameroon,2004,16,15.249999999999998,1
Cameroon,2004,17,14.5,1
Cameroon,2004,18,13.666666666666666,1
Cameroon,2011,1,27.25530584745146,11023
Cameroon,2011,2,25.784787403628002,8693
Cameroon,2011,3,24.607150575665056,6795
Cameroon,2011,4,23.583370151210833,5141
Cameroon,2011,5,22.58922107735116,3772
Cameroon,2011,6,21.66092064002917,2669
Cameroon,2011,7,20.814380300286953,1786
Cameroon,2011,8,20.08333328873531,1122
Cameroon,2011,9,19.612451603886868,647
Cameroon,2011,10,19.018212685440133,357
Cameroon,2011,11,18.263143025601256,176
Cameroon,2011,12,17.802088040476853,84
Cameroon,2011,13,17.175576769252473,31
Cameroon,2011,14,16.79213909024027,11
Cameroon,2011,15,17.15040890046179,5
