country,year,parity,mean_age_at_birth,n
Angola,2015,1,19.243159750185065,11149
Angola,2015,2,22.270383395190994,8975
Angola,2015,3,24.990160981935094,6926
Angola,2015,4,27.463082961505478,5144
Angola,2015,5,29.73851196701709,3710
Angola,2015,6,31.728682811587838,2554
Angola,2015,7,33.64912557786184,1597
Angola,2015,8,35.217299086566605,971
Angola,2015,9,36.36344396956721,522
Angola,2015,10,37.57539520449969,266
Angola,2015,11,38.14325104754334,115
Angola,2015,12,38.50999934245671,44
Angola,2015,13,38.27742865244051,16
Angola,2015,14,40.09406055673007,8
Angola,2015,15,39.809803320097714,4
Angola,2015,16,40.916666666666664,1
Burundi,2010,1,21.09494565488996,5954
Burundi,2010,2,23.535275385843065,4928
Burundi,2010,3,26.06007904336135,3958
Burundi,2010,4,28.561729207175613,3096
Burundi,2010,5,30.846848512541868,2341
Burundi,2010,6,32.96121204766161,1684
Burundi,2010,7,34.835903230206604,1123
Burundi,2010,8,36.685829086939115,708
Burundi,2010,9,37.91520318315511,396
Burundi,2010,10,39.03978547631043,201
Burundi,2010,11,40.21526583517955,84
Burundi,2010,12,41.43094493105393,32
Burundi,2010,13,41.77247216351725,10
Burundi,2010,14,43.689865576156784,3
Burundi,2010,15,42.083333333333336,1
Burundi,2010,16,44.416666666666664,1
Burundi,2016,1,21.12323315271105,11081
Burundi,2016,2,23.703457947763695,9322
Burundi,2016,3,26.240875509935382,7573
Burundi,2016,4,28.68541668154988,5814
Burundi,2016,5,30.980092241575665,4350
Burundi,2016,6,33.06879720770241,3044
Burundi,2016,7,34.88667305771578,1979
Burundi,2016,8,36.673608076391844,1173
Burundi,2016,9,37.83211703670852,611
Burundi,2016,10,39.1606423262318,288
Burundi,2016,11,39.85058132543097,120
Burundi,2016,12,41.231109308515755,49
Burundi,2016,13,42.5591844743024,11
Burundi,2016,14,36.09687671882321,3
Burundi,2016,15,43.916666666666664,1
Cameroon,1991,1,18.213936720376037,2839
Cameroon,1991,2,20.726406085837375,2257
Cameroon,1991,3,23.00277468364767,1782
Cameroon,1991,4,25.206317137024293,1412
Cameroon,1991,5,27.416141379665348,1092
Cameroon,1991,6,29.560243347459195,807
