country,year,TFR,mean_age_at_birth
Angola,2015,6.216,24.981956373161395
Burundi,2010,6.384,26.762424523174893
Burundi,2016,5.519,26.665095788015044
Cameroon,1991,5.817,23.98374372254468
Cameroon,1998,4.814,24.439701535439376
Cameroon,2004,4.969,24.254520907404306
Cameroon,2011,5.088,24.58084982631569
Cameroon,2018,4.756,24.710960017174365
Central African Republic,1995,5.073,24.41423199532072
Chad,1996,6.37,24.106949421056783
Chad,2004,6.344,24.294492882538737
Chad,2014,6.447,24.418361106474812
Comoros,1996,4.649,25.62618475925692
Comoros,2012,4.324,25.478504084400345
Congo Brazzaville,2005,4.798,24.413105484758336
Congo Brazzaville,2011,5.11,24.750773582089845
Congo Democratic Republic,2007,6.285,25.551919162181914
Congo Democratic Republic,2013,6.566,25.435905704662986
Benin,1996,5.956,25.699706228723244
Benin,2001,5.608,25.2760028514032
Benin,2006,5.739,25.146939707623027
Benin,2011,4.902,25.061163543053542
Benin,2017,5.685,25.55769012194975
Sierra Leone,2008,5.123,24.319018196529175
Sierra Leone,2013,4.911,24.75865425697249
Gabon,2000,4.209,23.73777133257416
Gabon,2012,4.103,24.342432725448965
Gabon,2019,3.923,25.004111032950604
Gambia,2013,5.603,25.022962057591087
Gambia,2019,4.425,25.609508651115146
Ghana,1993,5.156,25.632062465533664
Ghana,1998,4.439,25.593033795059142
Ghana,2003,4.448,25.836755174926214
Ghana,2008,4.027,25.717634382278764
Ghana,2014,4.194,25.99120504851626
Ghana,2022,3.902,26.413094160415184
Guinea,1999,5.528,24.681028001168354
Guinea,2005,5.705,25.151738869696715
Guinea,2012,5.1,24.660033660560824
Guinea,2018,4.824,25.031927472836426
Cote d'Ivoire,1994,5.305,24.436210494630952
Cote d'Ivoire,1998,5.179,24.51910489640132
Cote d'Ivoire,2011,4.958,24.650915782828456
Cote d'Ivoire,2021,4.279,25.15866337594097
Kenya,1993,5.399,24.778317154423505
Kenya,1998,4.699,24.5053522476665
Kenya,2003,4.884,24.67869166894419
Kenya,2008,4.558,24.676272244064037
Kenya,2014,3.905,24.69345673014121
Kenya,2022,3.441,24.809595291390938
Lesotho,2004,3.538,25.24205808789014
Lesotho,2009,3.302,24.89876414153578
Lesotho,2014,3.263,24.824647682193888
Lesotho,2023,2.513,25.074072197095504
Liberia,2007,5.199,25.009763486917972
Liberia,2013,4.729,24.579810834938314
Liberia,2019,4.179,24.562772850881814
Madagascar,1992,6.126,24.62769555358433
Madagascar,1997,5.967,24.667998708422243
Madagascar,2003,5.174,25.136565567605818
Madagascar,2008,4.822,25.060085629233278
Madagascar,2021,4.265,24.443779857309092
Malawi,1992,6.73,25.094609633577445
Malawi,2000,6.348,24.684811676276922
Malawi,2004,6.043,24.372151102679812
Malawi,2010,5.711,24.490211729360183
Malawi,2016,4.433,24.388026496189823
Mali,1995,6.71,25.0043628001368
Mali,2001,6.779,25.050746215843812
Mali,2006,6.576,24.72795709185741
Mali,2012,6.099,24.656312506680266
Mali,2018,6.281,24.984054141188857
Mauritania,2021,5.227,26.112020218961195
Mozambique,1997,5.171,24.321086507363347
Mozambique,2003,5.532,24.334035434699732
Mozambique,2011,5.921,24.742377645483014
Mozambique,2022,4.927,24.37016491368224
Namibia,1992,5.365,25.90351945622946
Namibia,2000,4.183,25.62900973106875
Namibia,2006,3.567,25.458190355748446
Namibia,2013,3.647,25.51769091569667
Niger,1992,6.993,24.058366678617855
Niger,1998,7.204,24.507626596715884
Niger,2006,7.018,24.514102209775604
Niger,2012,7.636,24.83340678447474
Nigeria,1990,6.011,24.650913500787837
Nigeria,1999,4.726,24.637608340561435
Nigeria,2003,5.655,24.55955255006593
Nigeria,2008,5.724,25.255714431618987
Nigeria,2013,5.547,25.270397517038102
Nigeria,2018,5.288,25.413066989162676
Rwanda,1992,6.231,27.03123833034042
Rwanda,2000,5.835,27.29613890002645
Rwanda,2005,6.076,27.235630487701123
Rwanda,2008,5.514,27.13603036400981
Rwanda,2010,4.563,27.10469436306023
Rwanda,2014,4.165,26.889897021365606
Rwanda,2019,4.126,27.273519974051634
Sao Tome and Principe,2008,4.904,25.063395060386696
Senegal,1992,6.029,25.076519337016574
Senegal,1997,5.669,25.572014669816518
Senegal,2005,5.257,25.517962938836064
Senegal,2010,4.984,25.22687080046335
Senegal,2012,5.298,25.821121405293702
Senegal,2014,5.033,25.95217190720355
Senegal,2015,4.857,25.803841996061237
Senegal,2016,4.676,26.039967393316992
Senegal,2017,4.615,26.13718022099386
Senegal,2018,4.357,26.244262456134933
Senegal,2019,4.727,26.209783249271474
Senegal,2023,3.989,25.814807586952217
South Africa,1998,2.896,24.879112390325734
South Africa,2016,2.643,24.965310873953186
Zimbabwe,1994,4.287,24.908276268679543
Zimbabwe,1999,3.964,24.702720828171604
Zimbabwe,2005,3.798,24.413031086122405
Zimbabwe,2010,4.102,24.42013027403777
Zimbabwe,2015,4.024,24.72297350746866
Eswatini,2006,3.849,24.264471881159505
Togo,1998,5.201,25.631788898182748
Togo,2013,4.781,25.894849096006574
Uganda,1995,6.858,24.142224068937736
Uganda,2001,6.852,24.346639258738204
Uganda,2006,6.673,24.738766737080716
Uganda,2011,6.202,24.680187466313456
Uganda,2016,5.38,24.722757346364173
Tanzania,1991,6.244,24.764970694092682
Tanzania,1996,5.818,24.90893445806698
Tanzania,1999,5.554,24.71443043967872
Tanzania,2004,5.659,24.87664016754972
Tanzania,2010,5.434,25.14036812789021
Tanzania,2015,5.198,25.31047012559869
Tanzania,2022,4.828,25.345952709745198
Burkina Faso,1993,6.515,25.240630918716978
Burkina Faso,1998,6.431,25.53555464758185
Burkina Faso,2003,5.881,25.693667527685122
Burkina Faso,2010,5.991,25.520428380962787
Burkina Faso,2021,4.437,25.561011785727736
Zambia,1992,6.463,24.483799428824
Zambia,1996,6.08,24.431924159695185
Zambia,2001,5.881,24.53022900570492
Zambia,2007,6.169,24.74891814181688
Zambia,2013,5.263,24.886833940245747
Zambia,2018,4.685,24.833759847191622
